Exon	Gene	HUGO	ExonNumber	PairwiseTissue	TissueSpecificity
ENSE00001517558	ENSG00000089505	CMTM1	17	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001145930	ENSG00000154040	CABYR	15	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001178764	ENSG00000154040	CABYR	15	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001538588	ENSG00000154040	CABYR	15	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001538596	ENSG00000154040	CABYR	15	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00000661235	ENSG00000088305	DNMT3B	28	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00000859951	ENSG00000088305	DNMT3B	28	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001156126	ENSG00000166157	TPTE	17	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001435267	ENSG00000166157	TPTE	17	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001122873	ENSG00000166157	TPTE	17	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001435657	ENSG00000166157	TPTE	17	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001371166	ENSG00000166157	TPTE	17	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001209615	ENSG00000163067	ZNF2	7	brain2thyroid, colon2thyroid, heart2thyroid, kidney2thyroid, liver2thyroid, muscle2thyroid, pancreas2thyroid, skeletalMuscle2thyroid, spleen2thyroid, testis2thyroid	thyroid
ENSE00001473077	ENSG00000163067	ZNF2	7	brain2thyroid, colon2thyroid, heart2thyroid, kidney2thyroid, liver2thyroid, muscle2thyroid, pancreas2thyroid, skeletalMuscle2thyroid, spleen2thyroid, testis2thyroid	thyroid
ENSE00001491253	ENSG00000115705	TPO	40	brain2thyroid, colon2thyroid, heart2thyroid, kidney2thyroid, liver2thyroid, muscle2thyroid, pancreas2thyroid, skeletalMuscle2thyroid, spleen2thyroid, testis2thyroid	thyroid
ENSE00001363151	ENSG00000115705	TPO	40	brain2thyroid, colon2thyroid, heart2thyroid, kidney2thyroid, liver2thyroid, muscle2thyroid, pancreas2thyroid, skeletalMuscle2thyroid, spleen2thyroid, testis2thyroid	thyroid
ENSE00001145731	ENSG00000115705	TPO	40	brain2thyroid, colon2thyroid, heart2thyroid, kidney2thyroid, liver2thyroid, muscle2thyroid, pancreas2thyroid, skeletalMuscle2thyroid, spleen2thyroid, testis2thyroid	thyroid
ENSE00001491243	ENSG00000115705	TPO	40	brain2thyroid, colon2thyroid, heart2thyroid, kidney2thyroid, liver2thyroid, muscle2thyroid, pancreas2thyroid, skeletalMuscle2thyroid, spleen2thyroid, testis2thyroid	thyroid
ENSE00001145739	ENSG00000115705	TPO	40	brain2thyroid, colon2thyroid, heart2thyroid, kidney2thyroid, liver2thyroid, muscle2thyroid, pancreas2thyroid, skeletalMuscle2thyroid, spleen2thyroid, testis2thyroid	thyroid
